"Identifier","Type","Log2-Enrichment Fold","P-Value","Subset Ratio","Description","Not Redundant"
"GO:0050896","BP","0.70","3.7030E-7","42.57%","response to stimulus","0"
"GO:0065007","BP","0.60","2.9828E-4","38.18%","biological regulation","0"
"GO:0016021","CC","0.61","3.5040E-4","32.09%","integral component of membrane","0"
"GO:0071944","CC","0.83","1.1769E-6","30.07%","cell periphery","0"
"GO:0005886","CC","0.86","6.8640E-6","26.01%","plasma membrane","0"
"GO:0010033","BP","1.22","8.5778E-7","19.59%","response to organic substance","0"
"GO:0009628","BP","1.02","2.0761E-4","18.92%","response to abiotic stimulus","0"
"GO:1901700","BP","1.21","2.6794E-5","16.55%","response to oxygen-containing compound","0"
"GO:0003700","MF","1.34","2.9763E-6","15.20%","DNA-binding transcription factor activity","0"
"GO:0055085","BP","1.35","2.3549E-4","12.16%","transmembrane transport","0"
"GO:0000976","MF","1.63","1.8135E-6","11.49%","transcription cis-regulatory region binding","0"
"GO:0001067","MF","1.63","1.8135E-6","11.49%","transcription regulatory region nucleic acid binding","0"
"GO:0009737","BP","1.60","4.3089E-3","7.43%","response to abscisic acid","0"
"GO:0009414","BP","1.81","7.8722E-4","7.09%","response to water deprivation","0"
"GO:0006820","BP","2.59","2.1905E-7","6.76%","anion transport","0"
"GO:0009651","BP","1.63","1.5156E-2","6.42%","response to salt stress","0"
"GO:0008509","MF","2.44","5.4268E-5","5.07%","anion transmembrane transporter activity","0"
"GO:0015849","BP","3.05","8.4126E-6","4.39%","organic acid transport","0"
"GO:0046942","BP","3.57","2.6929E-6","3.72%","carboxylic acid transport","0"
"GO:0015103","MF","2.81","7.0906E-4","3.38%","inorganic anion transmembrane transporter activity","0"
"GO:0005342","MF","2.72","1.2003E-2","2.70%","organic acid transmembrane transporter activity","0"
"GO:0046943","MF","2.72","1.2003E-2","2.70%","carboxylic acid transmembrane transporter activity","0"
"GO:0098661","BP","3.53","2.9022E-3","2.36%","inorganic anion transmembrane transport","0"
"GO:0043178","MF","3.56","2.6524E-2","1.69%","alcohol binding","0"
"GO:0019840","MF","3.97","4.7790E-2","1.35%","isoprenoid binding","0"
