"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"gene_ID"
"253510_at"	2.10494581661681	7.03397299530388	17.0320734543761	2.93778686166713e-08	0.000335054591573136	8.50053635389786	"AT4G31730"
"256720_at"	1.42671119034688	6.39421565673538	17.1875484055177	2.70889443198621e-08	0.000335054591573136	8.55145459360897	"AT2G34140"
"256073_at"	-2.04173275999821	6.41189367141398	-15.4850476867187	6.85563229505299e-08	0.000521256575500529	7.94581375636543	"AT1G18100"
"265962_at"	1.89999940939028	6.91791084624324	14.8026701046795	1.02196316410973e-07	0.000582774494333573	7.67034869125046	"AT2G37460"
"249438_at"	-2.22242061818911	4.52904421679166	-14.215973140185	1.46063454872672e-07	0.000666341481129128	7.4164913581014	"AT5G40010"
"247679_at"	1.28315559825026	7.42615211090526	13.7734589314875	1.92966890986756e-07	0.00073359579723465	7.21379048919101	"AT5G59540"
"251298_at"	1.76993899425101	8.90183956635182	13.1356207303312	2.92562587645664e-07	0.000953336089171086	6.90330192137963	"AT3G62040"
"246230_at"	0.933390895250456	5.4390244007835	11.6850282442086	8.10512076625166e-07	0.00211692786948315	6.10662977497161	"AT4G36710"
"256069_at"	1.4729854117897	6.5699760951627	11.6444736310044	8.35263078708829e-07	0.00211692786948315	6.08236292519967	"AT1G13740"
"246933_at"	1.88918262123566	6.34751921060054	11.3020046032737	1.08087055866673e-06	0.00224133249483529	5.87272797298139	"AT5G25160"
"265935_at"	1.14308436982625	7.53185225433346	11.3973352123743	1.00534204807772e-06	0.00224133249483529	5.93194013770372	"AT2G19580"
"247049_at"	1.1904013602876	6.90803953178559	11.0648987808948	1.29730481147345e-06	0.00246596022914245	5.72250618995715	"AT5G66440"
"265948_at"	0.948144115817982	6.3281219365629	10.655366461583	1.79272306033231e-06	0.00314553946201385	5.45277180444416	"AT2G19590"
"263545_at"	1.15669400459427	5.7095705118604	10.3359058879187	2.32471484007432e-06	0.00378762467872108	5.23290139291421	"AT2G21560"
"246992_at"	-1.06852333976164	7.33942568860001	-9.79804220324643	3.6584737457866e-06	0.00417248930706962	4.84279506116489	"AT5G67430"
"247024_at"	1.90288533835132	7.43416488328134	9.91188500955456	3.3179248469301e-06	0.00417248930706962	4.92752532765796	"AT5G66985"
"255264_at"	-0.828129256614792	7.30697685768543	-9.80217702198829	3.64545286585246e-06	0.00417248930706962	4.84589334294646	"AT4G05170"
"261868_s_at"	1.94800825918572	6.54603989467228	10.0833645946609	2.86893942472615e-06	0.00417248930706962	5.0529355985908	"AT1G11460"
"262396_at"	1.27522647881877	7.45853956137796	9.98545647318115	3.11646516924831e-06	0.00417248930706962	4.98165475747109	"AT1G49470"
"266403_at"	1.18553083050189	4.91484918997382	9.92134820723966	3.29122684178511e-06	0.00417248930706962	4.93451523743606	"AT2G38600"
