# ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:Q9S7H5	uniprotkb:Q9LY29	uniprotkb:Q67ZL8|uniprotkb:Q67ZX7|ensemblplants:AT2G04890.1|intact:EBI-1238472|uniprotkb:Q9S7H5	uniprotkb:C0SVN8|uniprotkb:A0MFE2|ensemblplants:AT5G07310.1|intact:EBI-2130977|uniprotkb:Q9LY29	psi-mi:scl21_arath(display_short)|psi-mi:Scarecrow-like protein 21(display_long)|uniprotkb:At2g04890(locus name)|uniprotkb:GRAS family protein 11(gene name synonym)|uniprotkb:F1O13.2(orf name)|uniprotkb:SCL21(gene name)	psi-mi:ef115_arath(display_short)|psi-mi:Ethylene-responsive transcription factor ERF115(display_long)|uniprotkb:T2I1.20(orf name)|uniprotkb:At5g07310(locus name)|uniprotkb:ERF115(gene name)	psi-mi:"MI:0397"(two hybrid array)	Altmann M. et al.(2020)	intact:EBI-25506235|pubmed:32612234|imex:IM-27834	taxid:3702(arath)|taxid:3702("Arabidopsis thaliana (Mouse-ear cress)")	taxid:3702(arath)|taxid:3702("Arabidopsis thaliana (Mouse-ear cress)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-25514847|imex:IM-27834-7237	-
uniprotkb:Q9LDL7	uniprotkb:Q9LY29	ensemblplants:AT5G48150.1|ensemblplants:AT5G48150.2|ensemblplants:AT5G48150.3|ensemblplants:AT5G48150.4|uniprotkb:Q8GYN7|intact:EBI-25514815|uniprotkb:Q9LDL7	uniprotkb:C0SVN8|uniprotkb:A0MFE2|ensemblplants:AT5G07310.1|intact:EBI-2130977|uniprotkb:Q9LY29	psi-mi:pat1_arath(display_short)|psi-mi:Scarecrow-like transcription factor PAT1(display_long)|uniprotkb:GRAS family protein 29(gene name synonym)|uniprotkb:Protein PHYTOCHROME A SIGNAL TRANSDUCTION 1(gene name synonym)|uniprotkb:MIF21.4(orf name)|uniprotkb:At5g48150(locus name)|uniprotkb:PAT1(gene name)	psi-mi:ef115_arath(display_short)|psi-mi:Ethylene-responsive transcription factor ERF115(display_long)|uniprotkb:T2I1.20(orf name)|uniprotkb:At5g07310(locus name)|uniprotkb:ERF115(gene name)	psi-mi:"MI:1112"(two hybrid prey pooling approach)	Altmann M. et al.(2020)	intact:EBI-25506235|pubmed:32612234|imex:IM-27834	taxid:3702(arath)|taxid:3702("Arabidopsis thaliana (Mouse-ear cress)")	taxid:3702(arath)|taxid:3702("Arabidopsis thaliana (Mouse-ear cress)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-25532433|imex:IM-27834-7585	-
uniprotkb:Q8VZS9	uniprotkb:Q9LY29	intact:EBI-2651059|uniprotkb:Q9T060|intact:EBI-2130879|ensemblplants:AT4G11920.1|intact:EBI-1749329|uniprotkb:Q8VZS9	uniprotkb:C0SVN8|uniprotkb:A0MFE2|ensemblplants:AT5G07310.1|intact:EBI-2130977|uniprotkb:Q9LY29	psi-mi:fzr1_arath(display_short)|psi-mi:Protein FIZZY-RELATED 1(display_long)|uniprotkb:At4g11920(locus name)|uniprotkb:CCS52A2(gene name synonym)|uniprotkb:Cell cycle switch protein CCS52A2(gene name synonym)|uniprotkb:T26M18.130(orf name)|uniprotkb:CDH1-1(gene name synonym)|uniprotkb:FZR1(gene name)|IntAct:AT4G11920(author assigned name)	psi-mi:ef115_arath(display_short)|psi-mi:Ethylene-responsive transcription factor ERF115(display_long)|uniprotkb:T2I1.20(orf name)|uniprotkb:At5g07310(locus name)|uniprotkb:ERF115(gene name)	psi-mi:"MI:0676"(tandem affinity purification)	Van Leene J. et al.(2010)	intact:EBI-2130617|pubmed:20706207|imex:IM-17301	taxid:3702(arath)|taxid:3702("Arabidopsis thaliana (Mouse-ear cress)")	taxid:3702(arath)|taxid:3702("Arabidopsis thaliana (Mouse-ear cress)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-2651056|imex:IM-17301-89	author-based confidence:non core
uniprotkb:Q9LDL7	uniprotkb:Q9LY29	ensemblplants:AT5G48150.1|ensemblplants:AT5G48150.2|ensemblplants:AT5G48150.3|ensemblplants:AT5G48150.4|uniprotkb:Q8GYN7|intact:EBI-25514815|uniprotkb:Q9LDL7	uniprotkb:C0SVN8|uniprotkb:A0MFE2|ensemblplants:AT5G07310.1|intact:EBI-2130977|uniprotkb:Q9LY29	psi-mi:pat1_arath(display_short)|psi-mi:Scarecrow-like transcription factor PAT1(display_long)|uniprotkb:GRAS family protein 29(gene name synonym)|uniprotkb:Protein PHYTOCHROME A SIGNAL TRANSDUCTION 1(gene name synonym)|uniprotkb:MIF21.4(orf name)|uniprotkb:At5g48150(locus name)|uniprotkb:PAT1(gene name)	psi-mi:ef115_arath(display_short)|psi-mi:Ethylene-responsive transcription factor ERF115(display_long)|uniprotkb:T2I1.20(orf name)|uniprotkb:At5g07310(locus name)|uniprotkb:ERF115(gene name)	psi-mi:"MI:0397"(two hybrid array)	Altmann M. et al.(2020)	intact:EBI-25506235|pubmed:32612234|imex:IM-27834	taxid:3702(arath)|taxid:3702("Arabidopsis thaliana (Mouse-ear cress)")	taxid:3702(arath)|taxid:3702("Arabidopsis thaliana (Mouse-ear cress)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-25514835|imex:IM-27834-5553	-
uniprotkb:Q9S7H5	uniprotkb:Q9LY29	uniprotkb:Q67ZL8|uniprotkb:Q67ZX7|ensemblplants:AT2G04890.1|intact:EBI-1238472|uniprotkb:Q9S7H5	uniprotkb:C0SVN8|uniprotkb:A0MFE2|ensemblplants:AT5G07310.1|intact:EBI-2130977|uniprotkb:Q9LY29	psi-mi:scl21_arath(display_short)|psi-mi:Scarecrow-like protein 21(display_long)|uniprotkb:At2g04890(locus name)|uniprotkb:GRAS family protein 11(gene name synonym)|uniprotkb:F1O13.2(orf name)|uniprotkb:SCL21(gene name)	psi-mi:ef115_arath(display_short)|psi-mi:Ethylene-responsive transcription factor ERF115(display_long)|uniprotkb:T2I1.20(orf name)|uniprotkb:At5g07310(locus name)|uniprotkb:ERF115(gene name)	psi-mi:"MI:1356"(validated two hybrid)	Altmann M. et al.(2020)	intact:EBI-25506235|pubmed:32612234|imex:IM-27834	taxid:3702(arath)|taxid:3702("Arabidopsis thaliana (Mouse-ear cress)")	taxid:3702(arath)|taxid:3702("Arabidopsis thaliana (Mouse-ear cress)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-25546669|imex:IM-27834-8455	-
uniprotkb:Q8L3Z8	uniprotkb:Q9LY29	uniprotkb:O82740|ensemblplants:AT4G22910.1|intact:EBI-1749317|uniprotkb:Q8L3Z8	uniprotkb:C0SVN8|uniprotkb:A0MFE2|ensemblplants:AT5G07310.1|intact:EBI-2130977|uniprotkb:Q9LY29	psi-mi:fzr2_arath(display_short)|psi-mi:Protein FIZZY-RELATED 2(display_long)|uniprotkb:At4g22910(locus name)|uniprotkb:CCS52A1(gene name synonym)|uniprotkb:Cell cycle switch protein CCS52A1(gene name synonym)|uniprotkb:F7H19.90(orf name)|uniprotkb:CDH1-2(gene name synonym)|uniprotkb:FZR2(gene name)|IntAct:AT4G22910(author assigned name)	psi-mi:ef115_arath(display_short)|psi-mi:Ethylene-responsive transcription factor ERF115(display_long)|uniprotkb:T2I1.20(orf name)|uniprotkb:At5g07310(locus name)|uniprotkb:ERF115(gene name)	psi-mi:"MI:0676"(tandem affinity purification)	Van Leene J. et al.(2010)	intact:EBI-2130617|pubmed:20706207|imex:IM-17301	taxid:3702(arath)|taxid:3702("Arabidopsis thaliana (Mouse-ear cress)")	taxid:3702(arath)|taxid:3702("Arabidopsis thaliana (Mouse-ear cress)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-2651048|imex:IM-17301-88	author-based confidence:non core
uniprotkb:Q9SCR2	uniprotkb:Q9LY29	ensemblplants:AT3G50630.1|intact:EBI-1636748|uniprotkb:Q9SCR2	uniprotkb:C0SVN8|uniprotkb:A0MFE2|ensemblplants:AT5G07310.1|intact:EBI-2130977|uniprotkb:Q9LY29	psi-mi:krp2_arath(display_short)|psi-mi:Cyclin-dependent kinase inhibitor 2(display_long)|uniprotkb:ICK2(gene name synonym)|uniprotkb:T3A5.10(orf name)|uniprotkb:At3g50630(locus name)|uniprotkb:KIP-related protein 2(gene name synonym)|uniprotkb:Inhibitor/interactor of CDK protein 2(gene name synonym)|uniprotkb:KRP2(gene name)|IntAct:AT3G50630(author assigned name)	psi-mi:ef115_arath(display_short)|psi-mi:Ethylene-responsive transcription factor ERF115(display_long)|uniprotkb:T2I1.20(orf name)|uniprotkb:At5g07310(locus name)|uniprotkb:ERF115(gene name)	psi-mi:"MI:0676"(tandem affinity purification)	Van Leene J. et al.(2010)	intact:EBI-2130617|pubmed:20706207|imex:IM-17301	taxid:3702(arath)|taxid:3702("Arabidopsis thaliana (Mouse-ear cress)")	taxid:3702(arath)|taxid:3702("Arabidopsis thaliana (Mouse-ear cress)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-2651636|imex:IM-17301-144	author-based confidence:non core
uniprotkb:Q9LRY0	uniprotkb:Q9LY29	ensemblplants:AT3G24810.1|intact:EBI-1636764|uniprotkb:Q9LRY0	uniprotkb:C0SVN8|uniprotkb:A0MFE2|ensemblplants:AT5G07310.1|intact:EBI-2130977|uniprotkb:Q9LY29	psi-mi:krp5_arath(display_short)|psi-mi:Cyclin-dependent kinase inhibitor 5(display_long)|uniprotkb:ICK3(gene name synonym)|uniprotkb:K7P8.10(orf name)|uniprotkb:At3g24810(locus name)|uniprotkb:KIP-related protein 5(gene name synonym)|uniprotkb:Inhibitor/interactor of CDK protein 3(gene name synonym)|uniprotkb:KRP5(gene name)|IntAct:AT3G24810(author assigned name)	psi-mi:ef115_arath(display_short)|psi-mi:Ethylene-responsive transcription factor ERF115(display_long)|uniprotkb:T2I1.20(orf name)|uniprotkb:At5g07310(locus name)|uniprotkb:ERF115(gene name)	psi-mi:"MI:0676"(tandem affinity purification)	Van Leene J. et al.(2010)	intact:EBI-2130617|pubmed:20706207|imex:IM-17301	taxid:3702(arath)|taxid:3702("Arabidopsis thaliana (Mouse-ear cress)")	taxid:3702(arath)|taxid:3702("Arabidopsis thaliana (Mouse-ear cress)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-2651660|imex:IM-17301-147	author-based confidence:non core
uniprotkb:Q2V419	uniprotkb:Q9LY29	uniprotkb:Q9ZVI4|uniprotkb:Q56XK5|ensemblplants:AT2G38620.2|intact:EBI-1637469|uniprotkb:Q2V419	uniprotkb:C0SVN8|uniprotkb:A0MFE2|ensemblplants:AT5G07310.1|intact:EBI-2130977|uniprotkb:Q9LY29	psi-mi:ckb12_arath(display_short)|psi-mi:Cyclin-dependent kinase B1-2(display_long)|uniprotkb:T6A23.18(orf name)|uniprotkb:At2g38620(locus name)|uniprotkb:CDKB1-2(gene name)	psi-mi:ef115_arath(display_short)|psi-mi:Ethylene-responsive transcription factor ERF115(display_long)|uniprotkb:T2I1.20(orf name)|uniprotkb:At5g07310(locus name)|uniprotkb:ERF115(gene name)	psi-mi:"MI:0676"(tandem affinity purification)	Van Leene J. et al.(2010)	intact:EBI-2130617|pubmed:20706207|imex:IM-17301	taxid:3702(arath)|taxid:3702("Arabidopsis thaliana (Mouse-ear cress)")	taxid:3702(arath)|taxid:3702("Arabidopsis thaliana (Mouse-ear cress)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-2130981|imex:IM-17301-16	author-based confidence:Core dataset
uniprotkb:Q9LDL7	uniprotkb:Q9LY29	ensemblplants:AT5G48150.1|ensemblplants:AT5G48150.2|ensemblplants:AT5G48150.3|ensemblplants:AT5G48150.4|uniprotkb:Q8GYN7|intact:EBI-25514815|uniprotkb:Q9LDL7	uniprotkb:C0SVN8|uniprotkb:A0MFE2|ensemblplants:AT5G07310.1|intact:EBI-2130977|uniprotkb:Q9LY29	psi-mi:pat1_arath(display_short)|psi-mi:Scarecrow-like transcription factor PAT1(display_long)|uniprotkb:GRAS family protein 29(gene name synonym)|uniprotkb:Protein PHYTOCHROME A SIGNAL TRANSDUCTION 1(gene name synonym)|uniprotkb:MIF21.4(orf name)|uniprotkb:At5g48150(locus name)|uniprotkb:PAT1(gene name)	psi-mi:ef115_arath(display_short)|psi-mi:Ethylene-responsive transcription factor ERF115(display_long)|uniprotkb:T2I1.20(orf name)|uniprotkb:At5g07310(locus name)|uniprotkb:ERF115(gene name)	psi-mi:"MI:1356"(validated two hybrid)	Altmann M. et al.(2020)	intact:EBI-25506235|pubmed:32612234|imex:IM-27834	taxid:3702(arath)|taxid:3702("Arabidopsis thaliana (Mouse-ear cress)")	taxid:3702(arath)|taxid:3702("Arabidopsis thaliana (Mouse-ear cress)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-25546657|imex:IM-27834-5055	-
