"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene_symbol"
"AT1G08830",4600.30562492202,3.23244836307495,0.104340005590558,30.9799519827462,1.00399419028439e-210,5.17182507270245e-207,"CSD1"
"AT2G28190",1735.07386207064,2.66653043171262,0.0878204420086806,30.3634366979051,1.67018180927304e-202,6.88281923601419e-199,"CSD2"
"AT3G62760",211.460774888007,2.13350641973718,0.225266582337693,9.47102938037601,2.77099336711555e-21,4.92209640770827e-19,"ATGSTF13"
"AT5G25090",252.518435917112,2.03943484844046,0.437736908550026,4.65904247187186,3.1768365776835e-06,7.9633476500205e-05,"ENODL13"
"AT3G16150",167.980551861756,1.99693291254648,0.201608870608801,9.90498536357215,3.96028038904309e-23,7.41832521965753e-21,""
"AT1G12520",556.424207690366,1.62688202852886,0.125712359460904,12.9413053378798,2.63120457071484e-38,7.97293679111461e-36,"ATCCS"
"AT3G20360",77.572285788262,1.62471306295115,0.356890552704296,4.55241263922535,5.30341856836039e-06,0.000123337403612941,""
"AT4G20320",517.589056210174,1.5727423996787,0.117272130302227,13.411049970914,5.20959988808153e-41,1.70386993164952e-38,""
"AT2G26330",52.2544413609148,1.54735479619594,0.370093746151304,4.18098066310837,2.90254549912238e-05,0.00053209030257488,"ER"
"AT5G48480",412.50830414307,1.47413224320004,0.129097756787942,11.4187285656828,3.37129809879478e-30,8.3693490753815e-28,""
"AT3G15680",206.756707374551,1.43623460250601,0.172355524404223,8.33297689453589,7.88345518360191e-17,1.06867496090867e-14,""
"AT2G22330",65.7224898882552,1.41709409357693,0.272590850092983,5.19861210709587,2.00782017254507e-07,7.0962495120568e-06,"CYP79B3"
"AT4G10640",146.729847945544,1.29936913356223,0.202916913533897,6.40345405877256,1.51900577359718e-10,1.09821452508666e-08,"IQD16"
"AT2G44790",6869.09673768685,1.29787349717444,0.0891001161538909,14.5664624604169,4.59054315872449e-48,1.81900272664458e-45,"UCC2"
"AT2G47450",71.1878924873677,1.29752717122696,0.348405233700404,3.72418966685992,0.000195943577672339,0.00267555826238472,"CAO"
"AT3G50870",100.124912422333,1.25936344084239,0.22873489388936,5.5057775376045,3.67542422101649e-08,1.60449398461959e-06,"MNP"
"AT3G01710",128.382630669229,1.25758300212284,0.227870168870856,5.51885755100997,3.41210636619159e-08,1.49588195053995e-06,""
"AT2G14880",119.55876956823,1.23054013094901,0.220474788220575,5.58131902917584,2.38701338603903e-08,1.09542117637715e-06,""
