"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene_symbol"
"AT1G08830",4600.30562492202,3.23244836307495,0.104340005590558,30.9799519827462,1.00399419028439e-210,5.17182507270245e-207,"CSD1"
"AT2G28190",1735.07386207064,2.66653043171262,0.0878204420086806,30.3634366979051,1.67018180927304e-202,6.88281923601419e-199,"CSD2"
"AT5G17800",26.4912774127917,2.57660246405643,0.497778590146738,5.17620185974027,2.26448450091212e-07,7.89504283270628e-06,"MYB56"
"AT3G62760",211.460774888007,2.13350641973718,0.225266582337693,9.47102938037601,2.77099336711555e-21,4.92209640770827e-19,"ATGSTF13"
"AT1G07520",29.8462386353813,2.11179425949448,0.453679865869078,4.65481150557361,3.24277231247258e-06,8.11875133639094e-05,"AT1G07520"
"AT5G25090",252.518435917112,2.03943484844046,0.437736908550026,4.65904247187186,3.1768365776835e-06,7.9633476500205e-05,"ENODL13"
"AT1G27730",128.97827406675,-2.00373272126092,0.262612683414954,-7.62999218166024,2.34767949396598e-14,2.6007492458693e-12,"STZ"
"AT1G35230",68.5178900346443,-2.00837040031459,0.285128964404719,-7.04372635206523,1.87165555297346e-12,1.72167244058116e-10,"AGP5"
"AT3G15370",35.9270737226574,-2.01211748680938,0.412895063116721,-4.87319337659548,1.09808642656933e-06,3.16006575690796e-05,"EXPA12"
"AT5G09290",69.6688368135153,-2.01901187016606,0.290657861087467,-6.94635219089595,3.74852278901863e-12,3.25900050918687e-10,"AT5G09290"
"AT1G07610",141.64196811037,-2.02207044673615,0.217544404300334,-9.29497797582766,1.47236680255236e-20,2.46651365582044e-18,"MT1C"
"AT3G29410",90.1303358514688,-2.0277879288887,0.265887962890787,-7.62647510192707,2.41259497957686e-14,2.65837002963536e-12,"AT3G29410"
"AT1G27720",134.545123972223,-2.04205664197605,0.214888307501902,-9.50287461293342,2.04174675465125e-21,3.69036770873589e-19,"TAF4B"
"AT5G14180",149.268248004701,-2.04718680561244,0.238136861994521,-8.59668170843511,8.20541578747144e-18,1.23410651314488e-15,"MPL1"
"AT3G51890",60.3159855147258,-2.05266480033087,0.307558234738591,-6.67406874043069,2.48806982739477e-11,1.94930337617754e-09,"CLC3"
"AT5G51730",215.17817153797,-2.06366293662869,0.172393914820211,-11.9706251742173,5.0645567757116e-33,1.3552622384875e-30,"AT5G51730"
