,Ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_symbol
1,AT4G25100,5336.1526237561,-5.5696119027195,0.112306186387076,-49.5930997382744,0,0,FSD1
2,AT2G18193,2362.3442691216,-3.24548375813198,0.0994219055796762,-32.6435481115484,9.8939185258999e-234,1.01932095613084e-229,
3,AT5G14570,951.855305220986,-4.8657371322822,0.150082116664441,-32.420499126896,1.41150733248121e-230,9.69470286192513e-227,ATNRT2.7
4,AT1G08830,4600.30562492202,3.23244836307495,0.104340005590558,30.9799519827462,1.00399419028439e-210,5.17182507270245e-207,CSD1
5,AT2G28190,1735.07386207064,2.66653043171262,0.0878204420086806,30.3634366979051,1.67018180927304e-202,6.88281923601419e-199,CSD2
6,AT5G48720,1882.82324733244,-2.79454773866689,0.098358032270129,-28.4119931455317,1.43770275817633e-177,4.93731088870387e-174,XRI
7,AT4G02390,951.714094999613,-3.24835631338481,0.11768518497097,-27.6020835943463,1.05044120211613e-167,3.09204870994326e-164,APP
8,AT3G27060,5581.03817276379,-2.29219136100237,0.0830729015797328,-27.5925279773976,1.3678838351536e-167,3.52315580291748e-164,TSO2
9,AT4G21070,1177.76471330996,-2.97426425727117,0.108162056370207,-27.4982221777582,1.84371603696968e-166,4.22108543797336e-163,ATBRCA1
10,AT5G24280,598.921138148751,-4.23978878415859,0.156258410663156,-27.1331876867623,3.9986041867507e-162,8.23912392679982e-159,GMI1
11,AT3G58270,474.078362545941,-4.3080015734244,0.166609855654351,-25.8568231543384,2.03908426311984e-147,3.81957556741676e-144,
12,AT3G07800,1289.78169773925,-2.84199696987838,0.114501149450878,-24.8206850630579,5.36171425328372e-136,9.20651018240926e-133,
13,AT5G23990,707.581154921925,-6.79701409469008,0.274033838795471,-24.8035575626962,8.20662231098919e-136,1.30074963629179e-132,ATFRO5
14,AT5G03780,548.830961021025,-3.53915093250193,0.143271325419845,-24.7024372960238,1.0068965657212e-134,1.48193598119181e-131,TRFL10
15,AT5G60250,440.639204855154,-5.89973063833022,0.250216086769974,-23.5785425089551,6.39946163218448e-123,8.79072712874409e-120,
16,AT4G28950,529.273509717734,-3.21630910399189,0.144964943374838,-22.1868061968294,4.60563302212059e-109,5.93119177629968e-106,ARAC7
17,AT3G01600,336.973884804112,-5.03483003218189,0.229827084524224,-21.9070352069459,2.22610173299301e-106,2.69816624754829e-103,anac044
18,AT5G64060,314.352508379455,-5.00956155410712,0.230179817236941,-21.763687252173,5.12565821653114e-105,5.86745486397912e-102,anac103
19,AT4G22960,373.102397926686,-5.16536162189656,0.238172723948842,-21.6874608320223,2.69454803727264e-104,2.92216643726331e-101,
20,AT2G47020,1014.94040331783,-1.97115030090861,0.0916216896258153,-21.514013864608,1.15100831278687e-102,1.18582631424867e-99,
21,AT3G27630,328.309843734551,-5.36597841819673,0.250590740598458,-21.4133148151514,1.00410371697228e-101,9.85217004200657e-99,
22,AT5G58070,972.08468079604,-2.5821977664457,0.123944673191188,-20.8334710961122,2.15279476907276e-96,2.01628800985201e-93,ATTIL
23,AT1G07590,1399.86268767593,-2.23298826522142,0.107325195413731,-20.8058159746499,3.83380936367643e-96,3.43459312776317e-93,
24,AT5G49520,263.98824564267,-5.17496392908641,0.261734994592369,-19.7717692933878,5.21158599045637e-87,4.47436372222307e-84,WRKY48
25,AT5G07610,436.379760135392,-3.21358692713831,0.163491955206809,-19.6559330584387,5.14344694229033e-86,4.23922896983569e-83,
26,AT1G71200,237.650988850555,-5.0811299850008,0.267360924325571,-19.0047591951522,1.55759168052599e-80,1.23439140681684e-77,
27,AT1G52315,240.586028695409,-5.1551232908681,0.276159524999604,-18.6671935030142,9.15382846453689e-78,6.98572724117714e-75,
28,AT1G20750,322.724216073979,-6.42340178653312,0.346158802783151,-18.556228340543,7.26281018311276e-77,5.34465013653709e-74,
29,AT2G47680,575.896977311274,-2.06843970684219,0.112997651839873,-18.3051565511587,7.52753186089453e-75,5.34844117219765e-72,
30,AT2G18600,216.737870424433,-5.13490131418739,0.283360239708545,-18.1214602283968,2.15791138979481e-73,1.48212547289074e-70,
31,AT2G45460,441.132737452488,-2.37701109683962,0.133839839437479,-17.7601161719116,1.43936355935566e-70,9.56712456145914e-68,
32,AT5G24380,257.495442803501,-3.67500758852757,0.208897366917093,-17.5924074236231,2.81653603143548e-69,1.8135851539915e-66,YSL2
33,AT5G20850,457.953086377432,-2.40431108422379,0.136817440573084,-17.5731330315267,3.95703184164869e-69,2.47074669991428e-66,ATRAD51
34,AT5G11460,390.149869606767,-2.76126586039342,0.157326777499815,-17.5511499331172,5.82878304155214e-69,3.53241395797594e-66,
35,AT3G45730,220.293038869893,-3.83502925860789,0.227783396354016,-16.8362985186487,1.32254932717204e-63,7.78603682467994e-61,
