"seqnames"	"start"	"end"	"width"	"strand"	"Conc"	"Conc_H3K9.14ac"	"Conc_H3K9.14ac_wounding"	"Fold"	"p.value"	"FDR"
"4776"	"2"	12628742	12629142	401	"*"	7.18927799033497	5.06497535672847	8.01354739950354	-2.94857204277507	2.47281191122228e-20	3.5633219640713e-16
"13193"	"5"	20190825	20191225	401	"*"	7.05898786708679	4.92142342759379	7.88496627683638	-2.96354284924259	5.45281963734953e-16	3.92875654871034e-12
"14072"	"5"	25891718	25892118	401	"*"	6.52475974177698	3.82703779336301	7.40905581227614	-3.58201801891313	2.29450163047589e-15	1.10212561650525e-11
"11664"	"5"	4219186	4219586	401	"*"	7.52397869613895	6.02449419187116	8.24322370529149	-2.21872951342033	6.91779944740754e-15	2.49213725092857e-11
"1926"	"1"	16264201	16264601	401	"*"	6.25635607716736	3.73108217606496	7.12527448037587	-3.39419230431091	8.31489894439347e-13	2.3963538757742e-09
"14155"	"5"	26266405	26266805	401	"*"	5.94149875014554	2.78219040971015	6.85840964077523	-4.07621923106508	1.44976406537516e-12	3.48185003034268e-09
"8334"	"3"	20773507	20773907	401	"*"	6.51605527646614	4.80574416481081	7.27683474156786	-2.47109057675706	7.68510705146771e-11	1.50192539844881e-07
"2662"	"1"	23371608	23372008	401	"*"	6.14825559424568	0	7.14825559424568	-7.14825559424568	8.33823954725223e-11	1.50192539844881e-07
"5984"	"3"	326786	327186	401	"*"	7.93076619496641	6.82793193157904	8.5484399789149	-1.72050804733586	1.36339286153157e-10	2.18294345940777e-07
"2743"	"1"	24029010	24029410	401	"*"	6.98425069000494	5.58821276248787	7.68027012873834	-2.09205736625047	1.90220701824579e-10	2.74108031329218e-07
"14266"	"5"	26772913	26773313	401	"*"	7.60786260828633	6.49015632427231	8.2300190339708	-1.73986270969849	2.36887045912468e-10	3.10322030145333e-07
"4775"	"2"	12627301	12627701	401	"*"	7.55692277128646	6.31624591055719	8.21394617588326	-1.89770026532608	4.31868452788896e-10	5.18602033724e-07
"9425"	"4"	8868683	8869083	401	"*"	6.34922393988935	4.5488216426188	7.12566948323295	-2.57684784061414	6.75277738489171e-10	7.48519400894535e-07
"8331"	"3"	20766912	20767312	401	"*"	5.59402488789132	1.87199389318272	6.53829832546481	-4.66630443228209	1.2862963597344e-09	1.32396646741233e-06
"1245"	"1"	7493391	7493791	401	"*"	7.13997512451483	5.79555579363411	7.82361547619202	-2.02805968255791	2.14359496486732e-09	2.05928022958254e-06
"6871"	"3"	5234659	5235059	401	"*"	8.02614970626415	7.050300772318	8.60297116503977	-1.55267039272177	2.39752216293198e-09	2.11161507235765e-06
"3367"	"1"	28336067	28336467	401	"*"	5.65217353276741	0	6.65217353276741	-6.65217353276741	2.49114894032477e-09	2.11161507235765e-06
"12144"	"5"	7258871	7259271	401	"*"	6.90635717921655	5.6169773666551	7.57617596881691	-1.95919860216181	4.69331785500111e-09	3.75726168280922e-06
"7945"	"3"	18394009	18394409	401	"*"	5.5638546041927	0	6.5638546041927	-6.5638546041927	4.96372584991060e-09	3.76459418406377e-06
"7946"	"3"	18394630	18395030	401	"*"	5.45022263761066	0	6.45022263761066	-6.45022263761066	1.10517633461509e-08	7.96279549090173e-06
"9785"	"4"	11586007	11586407	401	"*"	6.19933600493548	4.39644437279353	6.97619835763871	-2.57975398484518	1.46724340549841e-08	1.00680845110629e-05
"5909"	"2"	19624358	19624758	401	"*"	7.59352737268278	6.64903278534711	8.15950315476164	-1.51047036941453	2.41482828121146e-08	1.58171252419351e-05
"1647"	"1"	10596462	10596862	401	"*"	6.87163931910356	5.72075608320734	7.50358225178578	-1.78282616857844	4.77406579900523e-08	2.99105600711589e-05
"12000"	"5"	6412800	6413200	401	"*"	6.84224617276856	5.60140129838168	7.49931466399889	-1.89791336561721	8.29454689120489e-08	4.97787375427102e-05
"3425"	"1"	28666253	28666653	401	"*"	5.22405973553314	0	6.22405973553314	-6.22405973553314	8.63614461185117e-08	4.97787375427102e-05
