"chr"	"start"	"end"	"width"	"strand"	"gene_id"	"enriched"	"modification"	"gene_symbol"	"description"	"H3K14ac_0h"	"H3K14ac_6h"	"H3K27me_0h"	"H3K27me_6h"
"1"	"1"	5181991	5183413	1423	"-"	"AT1G15050"	"+"	"H3K9/14ac"	"IAA34"	"DNA-templated transcription regulation"	TRUE	TRUE	FALSE	FALSE
"2"	"1"	5955155	5957511	2357	"-"	"AT1G17380"	"+"	"H3K9/14ac"	"JAZ5,TIFY11A"	"response to wounding"	TRUE	TRUE	TRUE	TRUE
"3"	"1"	7493213	7496741	3529	"+"	"AT1G21400"	"+"	"H3K9/14ac"	"NA"	NA	TRUE	TRUE	TRUE	FALSE
"4"	"1"	7534019	7534927	909	"-"	"AT1G21520"	"+"	"H3K9/14ac"	"NA"	NA	FALSE	TRUE	FALSE	FALSE
"5"	"1"	9846747	9848015	1269	"-"	"AT1G28190"	"+"	"H3K9/14ac"	"NA"	NA	TRUE	TRUE	FALSE	FALSE
"6"	"1"	10596352	10597341	990	"+"	"AT1G30135"	"+"	"H3K9/14ac"	"JAZ8,TIFY5A"	"response to wounding"	TRUE	TRUE	FALSE	FALSE
"7"	"1"	11964776	11966320	1545	"-"	"AT1G33030"	"+"	"H3K9/14ac"	"O-methyltransferase family protein"	"Methylation"	FALSE	TRUE	FALSE	FALSE
"8"	"1"	16263805	16264945	1141	"+"	"AT1G43160"	"+"	"H3K9/14ac"	"ERF113,RAP2.6"	"response to wounding"	FALSE	TRUE	FALSE	FALSE
"9"	"1"	20525654	20530468	4815	"+"	"AT1G55020"	"+"	"H3K9/14ac"	"ATLOX1,LOX1"	"response to wounding,regulation of root development"	FALSE	TRUE	FALSE	FALSE
"10"	"1"	24028830	24030780	1951	"+"	"AT1G64660"	"+"	"H3K9/14ac"	"ATMGL,MGL"	NA	TRUE	TRUE	TRUE	TRUE
